Kategoria,Karta_PL,Karta_EN,Deadline_Prosta,Deadline_Odwrócona,Budzet_Prosta,Budzet_Odwrócona,Zespol_Prosta,Zespol_Odwrócona
Wielkie Arkana,0. Głupiec,The Fool,"Startujemy bez specyfikacji. YOLO. Jakoś to będzie.","Projekt widmo. Termin minął, a my nadal wybieramy czcionkę.","Inwestor rzucił kasą. 'Sky is the limit'.","Budżet przepalony na integrację, której nikt nie potrzebuje.","Nowy Junior w zespole. Pełen entuzjazmu, zero pojęcia.","Stażysta właśnie usunął bazę produkcyjną."
Wielkie Arkana,I. Mag,The Magician,"Masz wszystkie zasoby. PM, Dev i QA w jednym pokoju.","Feature creep. Chcecie zrobić wszystko naraz.","Dopięte na ostatni guzik. Kreatywna księgowość działa.","Ktoś tu manipuluje fakturami. Gdzie jest kasa?","Lider, który faktycznie umie kodować i zarządzać. Jednorożec.","Scrum Master, który tylko przeszkadza i robi dym."
Wielkie Arkana,II. Kapłanka,The High Priestess,"Intuicja mówi: to się uda przed czasem. Czekaj na sygnał.","Ukryte błędy w kodzie wyjdą po wdrożeniu.","Tajny fundusz operacyjny. Kasa 'na czarną godzinę'.","Budżet zamrożony przez zarząd bez wyjaśnienia.","Cicha woda w HR. Wiedzą o tobie wszystko.","Plotki w kuchni niszczą morale skuteczniej niż brak podwyżek."
Wielkie Arkana,III. Cesarzowa,The Empress,"Projekt rośnie zdrowo. Organiczny wzrost użytkowników.","Zależność od legacy code. Dusimy się.","Premie kwartalne dla wszystkich! Obfitość.","Koszty utrzymania biura zjadają zysk. Zbyt drogocenne kwiatki.","Matczyna opieka HR-u. Owocowe czwartki i masaże.","Szefowa, która traktuje zespół jak swoją własność. Mikromanagement."
Wielkie Arkana,IV. Cesarz,The Emperor,"Sztywny harmonogram. Wodospad (Waterfall) w pełnej krasie.","Chaos. Nikt nie pilnuje Jir-y. Anarchia.","Stabilne finansowanie. Korporacja płaci na czas.","Ciach. Budżet ucięty czerwoną kredką dyrektora.","Szef z twardą ręką. Wymaga, ale dowozi.","Tyran. 'Nadgodziny są obowiązkowe i bezpłatne'."
Wielkie Arkana,V. Kapłan,The Hierophant,"Procedury są święte. Róbcie tak, jak napisano w Wiki.","Bunt przeciwko procedurom. Robimy 'po swojemu' i psujemy.","Szkolenia i certyfikaty opłacone. Inwestycja w wiedzę.","Kasa idzie na konsultantów, którzy mówią rzeczy oczywiste.","Mentor w zespole. Senior uczy Juniora.","Zostajemy po godzinach, bo 'tak u nas wypada'. Kult zapierdolu."
Wielkie Arkana,VI. Kochankowie,The Lovers,"Idealny moment na fuzję lub partnerstwo strategiczne.","Zła decyzja biznesowa. Wybraliście najtańszego vendora.","Wspólny budżet z innym działem. Synergia.","Konflikt interesów. Kto płaci za ten lunch?","Dobra chemia w teamie. Pair programming działa.","Romans biurowy rozwala atmosferę w dziale."
Wielkie Arkana,VII. Rydwan,The Chariot,"Sprint! Dowozimy temat przed czasem. Pełna naprzód.","Wypadek przy pracy. Projekt wykoleił się na ostatniej prostej.","Premia za sukces. Szybki zwrot z inwestycji (ROI).","Koszty paliwa (kawy i pizzy) przekroczyły zyski.","Zespół zmotywowany jak nigdy. Jadą na redbullach.","Konflikt liderów. Każdy ciągnie kierownicę w swoją stronę."
Wielkie Arkana,VIII. Moc,Strength,"Wytrzymamy ten crunch. Mamy zapas mocy.","Wypalenie materiału. Zespół pada na twarz.","Stabilny cashflow mimo kryzysu na rynku.","Lęk przed inwestycją. Trzymanie kasy w skarpecie.","Asertywny lider. Miękko zarządza, twardo egzekwuje.","Agresja pasywna na Slacku. 'Per my last email...'."
Wielkie Arkana,IX. Pustelnik,The Hermit,"Czas na refaktoryzację. Dajcie nam spokój na tydzień.","Izolacja. Robimy system, którego nikt nie chce.","Oszczędności. Cięcie kosztów zbędnych licencji.","Brak środków na cokolwiek. Bieda-projekt.","Specjalista, który siedzi w piwnicy i wie wszystko.","Zespół nie komunikuje się ze światem. Silos informacyjny."
Wielkie Arkana,X. Koło Fortuny,Wheel of Fortune,"Szczęśliwy traf. Konkurencja upadła, przejmujemy rynek.","Pech. Google zmieniło algorytm i zniknęliśmy.","Nagły zastrzyk gotówki z dotacji.","Niespodziewana kara umowna lub grzywna.","Rotacja pracowników. Starzy odchodzą, nowi przychodzą.","Karuzela stanowisk. Ciągłe zmiany szefów."
Wielkie Arkana,XI. Sprawiedliwość,Justice,"Audyt przeszedł pomyślnie. Wszystko zgodnie z planem.","Pozew sądowy. Naruszyliście RODO.","Uczciwa wycena. Płacą tyle, ile warta jest praca.","Niezapłacone faktury. Windykacja wchodzi do gry.","Transparentność. Wiemy, kto ile zarabia (prawie).","Kolesiostwo. Awans dostał szwagier prezesa."
Wielkie Arkana,XII. Wisielec,The Hanged Man,"Projekt zawieszony. Czekamy na decyzję góry.","Utrata czasu na spotkania, które nic nie wnoszą.","Zamrożone aktywa. Czekamy na lepszy kurs walut.","Inwestycja wtopiona. Kasa w błoto.","Zespół poświęca się dla idei. Heroizm.","Męczeństwo. 'Patrzcie jak ciężko pracuję i cierpię'."
Wielkie Arkana,XIII. Śmierć,Death,"Koniec projektu. Zamykamy temat, idziemy dalej.","Reanimacja trupa. Projekt powinien upaść rok temu.","Zamknięcie nierentownego działu. Bolesne cięcie.","Bankructwo lub utrata płynności.","Restrukturyzacja. Zwolnienia grupowe.","Strach przed zwolnieniem paraliżuje pracę."
Wielkie Arkana,XIV. Umiarkowanie,Temperance,"Work-life balance. Wszystko idzie swoim rytmem.","Skrajności. Albo nudy, albo pożar w serwerowni.","Zrównoważony budżet. Wydajemy tyle, ile mamy.","Szastanie kasą na lewo i prawo.","Zespół zintegrowany, różnorodny i spokojny.","Konflikty charakterów. Nikt się z nikim nie dogaduje."
Wielkie Arkana,XV. Diabeł,The Devil,"Uzależnienie od klienta. Płaci, to wymaga.","Toksyczny projekt. Złota klatka korporacji.","Kredyt we frankach (lub jego odpowiednik). Cyrograf.","Korupcja, lewe faktury, kreatywna księgowość.","Toksyczny lider. Mobbing w białych rękawiczkach.","Zespół uzależniony od darmowej kawy i nadgodzin."
Wielkie Arkana,XVI. Wieża,The Tower,"Pivot! Wszystko, co robiliśmy, idzie do kosza.","Critical Error na produkcji. Piątek, 17:00.","Krach na giełdzie. Inwestor wycofuje finansowanie.","Dziura budżetowa, której nie da się ukryć.","Nagłe zwolnienie CEO. Szok i niedowierzanie.","Rewolucja w dziale. Wszyscy rzucają papierami."
Wielkie Arkana,XVII. Gwiazda,The Star,"Nowa nadzieja. Projekt 'Next Gen' uratuje firmę.","Nierealne marzenia. Obiecanki cacanki CEO.","Granty i dofinansowania. Pieniądze z nieba.","Rozczarowanie premią roczną. Miało być więcej.","Inspirujący lider. Wizjoner (w dobrym sensie).","Brak wiary w sens projektu. Cynizm w zespole."
Wielkie Arkana,XVIII. Księżyc,The Moon,"Niejasne wymagania, ale idziemy do przodu.","Mgła wojny. Nie wiemy, co robimy i dla kogo.","Ukryte koszty. Drobny druczek w umowie.","Przekręty finansowe wychodzą na jaw.","Plotki, intrygi, podkopowanie autorytetów.","Lęk przed zwolnieniami. Atmosfera strachu."
Wielkie Arkana,XIX. Słońce,The Sun,"Sukces! Wdrożenie udane, klient zachwycony.","Wypalenie sukcesem. Za dużo słońca parzy.","Premia, podwyżka, złoty spadochron.","Pycha kroczy przed upadkiem. Przeinwestowanie.","Zespół świętuje. Jest moc, jest energia.","Fałszywy optymizm. Uśmiechamy się, choć statek tonie."
Wielkie Arkana,XX. Sąd Ostateczny,Judgement,"Performance Review. Czas podsumowań i awansów.","Negatywna ocena roczna. Brak podwyżki.","Rozliczenie projektu. Faktura zapłacona.","Kary umowne naliczone. Sąd.","Powołanie do nowych zadań. Awans poziomy.","Ignorowanie feedbacku. Zespół nie chce się uczyć."
Wielkie Arkana,XXI. Świat,The World,"Projekt zakończony. Globalny sukces.","Niekończąca się opowieść. Feature creep forever.","Wyjście na giełdę (IPO). Bonanza.","Brak domknięcia. Projekt wisi w powietrzu.","Międzynarodowy zespół. Diversity & Inclusion.","Problemy z komunikacją w zespole rozproszonym."
Buławy (Ogień),As Buław,Ace of Wands,"Nowy projekt! Kickoff meeting pełen energii.","Falstart. Pomysł upadł, zanim spisaliśmy go w Wordzie.","Seed money. Pierwsza kasa na stole.","Brak budżetu na start. 'Zróbcie to po kosztach'.","Zespół zapalony do działania.","Słomiany zapał. Po tygodniu nikomu się nie chce."
Buławy (Ogień),2 Buław,Two of Wands,"Planowanie strategii. Wybór technologii.","Paraliż decyzyjny. Nie wiemy, czy Azure czy AWS.","Budżetowanie przyszłego roku. Wygląda obiecująco.","Strach przed inwestycją. Trzymamy kasę.","Wybór podwykonawców. Szukanie partnerów.","Brak planu na rekrutację. Pustki w kadrach."
Buławy (Ogień),3 Buław,Three of Wands,"Ekspansja na nowe rynki. Pierwsze wyniki.","Opóźnienia w dostawach sprzętu. Czekamy.","Zyski z eksportu. Kasa płynie szerokim strumieniem.","Niedoszacowanie kosztów logistyki.","Zespół rośnie. Nowe biurka, nowi ludzie.","Rozczarowanie wynikami zespołu sprzedażowego."
Buławy (Ogień),4 Buław,Four of Wands,"Impreza firmowa! Świętujemy kamień milowy.","Odwołana impreza wigilijna. Smutek.","Premia za dowiezienie etapu.","Problemy z płynnością finansową firmy matki.","Zgrany zespół, stabilne zatrudnienie.","Niestabilna atmosfera. Ludzie boją się o stołki."
Buławy (Ogień),5 Buław,Five of Wands,"Burza mózgów. Konstruktywna kłótnia.","Walka kogutów na spotkaniu zarządu.","Walka o budżet między działami.","Nieczysta konkurencja. Podkradanie zasobów.","Rywalizacja w zespole. Wyścig szczurów.","Unikanie trudnych tematów. Sztuczna uprzejmość."
Buławy (Ogień),6 Buław,Six of Wands,"Awans! Uznanie prezesa, oklaski na All-Hands.","Pycha. Spoczęliśmy na laurach i konkurencja nas zjadła.","Nagroda roczna. Bonusy dla kluczowych graczy.","Brak uznania finansowego mimo sukcesu. Uścisk dłoni.","Lider niesiony na rękach przez zespół.","Upadek gwiazdy. Lider skompromitowany."
Buławy (Ogień),7 Buław,Seven of Wands,"Bronimy swojego pomysłu przed zarządem.","Jesteśmy przytłoczeni. Wszyscy czegoś chcą na raz.","Walka o podwyżkę. Twarde negocjacje.","Poddanie się. Bierzemy co dają (czyli nic).","Jeden przeciw wszystkim. Heroiczna obrona deadline'u.","Rezygnacja. 'Niech robią co chcą'."
Buławy (Ogień),8 Buław,Eight of Wands,"Szybkie akcje. Maile latają, taski znikają. ASAP.","Chaos komunikacyjny. Spam, którego nikt nie czyta.","Szybki przelew. Kasa już na koncie.","Zatory płatnicze. Faktura utknęła.","Komunikacja w czasie rzeczywistym. Slack płonie.","Plotki rozchodzą się szybciej niż oficjalne info."
Buławy (Ogień),9 Buław,Nine of Wands,"Ostatnia prosta przed wdrożeniem. Zmęczeni, ale walczymy.","Paranoja. Boimy się, że konkurencja nas szpieguje.","Ochrona zasobów. Nie oddamy budżetu!","Wyczerpanie funduszy tuż przed metą.","Zespół na skraju wytrzymałości. Crunch time.","Opór przed zmianami. 'Zawsze tak robiliśmy'."
Buławy (Ogień),10 Buław,Ten of Wands,"Deleguj zadania! Bierzesz wszystko na klatę.","Załamanie nerwowe. Wypalenie zawodowe. L4.","Nadgodziny płatne (teoretycznie).","Koszty ukryte, które nas przygniatają.","Jeden ciągnie za wszystkich. Reszta się obija.","Zrzucanie odpowiedzialności. 'To nie mój task'."
Buławy (Ogień),Paź Buław,Page of Wands,"Nowy pomysł na startup. Badanie rynku.","Prokrastynacja. Oglądamy koty w internecie.","Mały grant na innowacje.","Brak środków na R&D.","Młody talent, 'high potential'.","Leniwy stażysta, który ciągle siedzi na telefonie."
Buławy (Ogień),Rycerz Buław,Knight of Wands,"Wyjazd integracyjny lub delegacja. Dzieje się!","Słomiany zapał. Dużo hałasu, mało efektów.","Szybka kasa z krótkiego zlecenia.","Ryzykowne inwestycje. Hazard.","Pracownik, który 'robi dym'. Działa zanim pomyśli.","Agresywny kolega z biurka obok."
Buławy (Ogień),Królowa Buław,Queen of Wands,"Zarządzanie przez charyzmę. Ludzie cię słuchają.","Królowa dramatu. Histeria o byle co.","Efektywne wydawanie pieniędzy.","Zazdrość o zarobki innych.","Liderka, która inspiruje. Social butterfly.","Manipulantka. Skłóca ludzi dla sportu."
Buławy (Ogień),Król Buław,King of Wands,"Wizjoner. Wyznacza kierunek całej firmie.","Tyran. 'Ma być zrobione na wczoraj, bo ja tak mówię'.","Wielki kapitał. Inwestor strategiczny.","Brak tolerancji dla błędów finansowych.","Przedsiębiorczy szef. Daje wędkę, nie rybę.","Impulsywny szef. Zwalnia ludzi pod wpływem emocji."
Kielichy (Woda),As Kielichów,Ace of Cups,"Nowa oferta pracy! Projekt marzeń.","Pustka. Wypalenie emocjonalne. Nie lubię tej pracy.","Podwyżka, która cieszy serce.","Rozczarowanie finansowe. Obiecywali gruszki na wierzbie.","Świetna atmosfera. Zespół jak rodzina.","Blokada emocjonalna. Ludzie to roboty."
Kielichy (Woda),2 Kielichów,Two of Cups,"Podpisanie umowy. Idealny partner biznesowy.","Zerwanie negocjacji. Rozstanie z klientem.","Dobre warunki finansowe dla obu stron. Win-win.","Nierówny podział zysków. Ktoś kogoś oszukuje.","Zgoda i porozumienie.","Konflikt personalny. Dwie osoby drą koty."
Kielichy (Woda),3 Kielichów,Three of Cups,"Świętowanie sukcesu. Wyjście na piwo po pracy.","Plotkowanie, obgadywanie, kółka wzajemnej adoracji.","Premia zespołowa. Dzielimy się łupem.","Przepijanie firmowej karty kredytowej.","Imprezowa atmosfera. Mało pracy, dużo zabawy.","Wykluczenie z grupy. Mobbing."
Kielichy (Woda),4 Kielichów,Four of Cups,"Nuda w projekcie. Rutyna. 'Dzień świstaka'.","Przegapiona szansa na awans, bo byłeś na kawie.","Stabilna pensja, ale bez perspektyw na więcej.","Odrzucanie dobrych ofert. Wybrzydzanie.","Apatia w zespole. Nikomu się nie chce.","Otwarcie się na feedback. Nowa motywacja."
Kielichy (Woda),5 Kielichów,Five of Cups,"Płacz nad rozlanym mlekiem. Projekt padł.","Wyciągnięcie wniosków z porażki. Post-mortem.","Strata kluczowego klienta = dziura w budżecie.","Odzyskanie części długu. Lepiej to niż nic.","Skupianie się na negatywach. Narzekanie przy kawomacie.","Akceptacja zmian personalnych. Idziemy dalej."
Kielichy (Woda),6 Kielichów,Six of Cups,"Powrót starego klienta. Nostalgia za 'starymi czasami'.","Utrknięcie w przeszłości. 'Kiedyś to było...'.","Bezpieczne inwestycje. Obligacje skarbowe.","Problemy ze spadkiem lub firmą rodzinną.","Koleżeńska atmosfera, naiwność.","Infantylizm. Traktowanie pracowników jak dzieci."
Kielichy (Woda),7 Kielichów,Seven of Cups,"Burza mózgów. Tysiąc pomysłów na minutę.","Paraliż decyzyjny. Za dużo opcji, nic nie wybrane.","Wirtualne zyski. Bitcoiny i NFT.","Inwestycja w piramidę finansową. Iluzja bogactwa.","Marzyciele w zespole. Wizje bez pokrycia.","Wybranie jednej, konkretnej ścieżki. Koniec bujania w obłokach."
Kielichy (Woda),8 Kielichów,Eight of Cups,"Odejście z pracy. Szukanie sensu gdzie indziej.","Lęk przed zmianą pracy. Tkwienie w toksyku.","Porzucenie nierentownego projektu. Cięcie strat.","Powrót do starych błędów finansowych.","Zmiana zespołu na własne życzenie.","Ucieczka od odpowiedzialności."
Kielichy (Woda),9 Kielichów,Nine of Cups,"Sukces! Mamy wszystko, czego chcieliśmy.","Próżność. Chwalenie się wynikami, których nie ma.","Bonusy, benefity, złote karty. Jest bogato.","Chciwość. Nigdy dość kasy.","Zadowolony zespół. Wszyscy syci.","Samozadowolenie. Brak chęci rozwoju."
Kielichy (Woda),10 Kielichów,Ten of Cups,"Firma idealna. Work-life balance osiągnięty.","Rozpad zespołu. Konflikty wewnętrzne niszczą firmę.","Stabilizacja finansowa na lata.","Problemy rodzinne wpływające na biznes.","Zespół jak zgrana rodzina. Zaufanie.","Fałszywa harmonia. Uśmiechy przyklejone taśmą."
Kielichy (Woda),Paź Kielichów,Page of Cups,"Kreatywny pomysł. 'A może zrobimy to inaczej?'.","Niedojrzałość. Fochy w pracy.","Mała premia uznaniowa.","Brak środków na działania kreatywne.","Wrażliwiec w zespole. Trzeba uważać na słowa.","Blokada twórcza. Pustka w głowie."
Kielichy (Woda),Rycerz Kielichów,Knight of Cups,"Propozycja współpracy. Zaproszenie na rozmowę.","Niesłowny kontrahent. Obiecuje, nie dowozi.","Obietnica podwyżki. Na piśmie jeszcze nie ma.","Manipulacja finansowa.","Romantyk biznesu. Kieruje się sercem, nie Excelem.","Humorzasty pracownik. Dziś pracuje, jutro płacze."
Kielichy (Woda),Królowa Kielichów,Queen of Cups,"Empatyczna szefowa HR. Zrozumie spóźnienie.","Nadwrażliwa kierowniczka. Bierze wszystko do siebie.","Działalność charytatywna firmy. CSR.","Wykorzystywanie emocji do sprzedaży.","Wsparcie emocjonalne w zespole.","Manipulantka emocjonalna. 'Jak możesz mi to robić?'."
Kielichy (Woda),Król Kielichów,King of Cups,"Dyplomata. Rozwiąże każdy konflikt w zespole.","Zimny drań. Uśmiecha się, gdy cię zwalnia.","Stabilność finansowa oparta na relacjach.","Niestabilność. Decyzje finansowe oparte na humorach.","Mentor, który dba o rozwój ludzi.","Szef, który ma swoich ulubieńców."
Miecze (Powietrze),As Mieczy,Ace of Swords,"Genialny pomysł! Przełom w projekcie.","Słowna agresja. Mail z samymi dużymi literami.","Jasna sytuacja finansowa. Wiesz, na czym stoisz.","Kłótnia o pieniądze. Ostre cięcia.","Intelektualne wyzwanie dla zespołu.","Toksyczna komunikacja. Sarkazm i docinki."
Miecze (Powietrze),2 Mieczy,Two of Swords,"Impas. Czekamy na dane, żeby podjąć decyzję.","Zamykanie oczu na problemy. Udajemy, że jest ok.","Zawieszenie wypłat. Pat.","Przymusowa ugoda finansowa.","Brak komunikacji między działami. Silosy.","Koniec wahania. Podjęcie trudnej decyzji personalnej."
Miecze (Powietrze),3 Mieczy,Three of Swords,"Bolesna krytyka projektu. Feedback, który rani.","Uleczenie sytuacji. Wybaczenie błędów.","Strata finansowa. Boli, ale trzeba przełknąć.","Długi, które nie dają spać.","Zwolnienie dyscyplinarne. Złamane serce pracownika.","Odejście toksycznej osoby oczyszcza atmosferę."
Miecze (Powietrze),4 Mieczy,Four of Swords,"Urlop. Reset. Nie dzwońcie do mnie.","Wypalenie zawodowe. Przymusowe L4 od psychiatry.","Zamrożenie wydatków. Czekamy na lepsze czasy.","Stres finansowy, który paraliżuje.","Spokój w biurze. Wszyscy pracują w skupieniu.","Wymuszona przerwa w pracy (np. awaria prądu)."
Miecze (Powietrze),5 Mieczy,Five of Swords,"Wygrana za wszelką cenę. 'Po trupach do celu'.","Przegrana walka. Wycofujemy się z rynku.","Wrogie przejęcie. Zysk kosztem innych.","Straty wynikające z oszustwa.","Konflikt, po którym ktoś odchodzi.","Godzenie się z porażką. Zakopanie topora wojennego."
Miecze (Powietrze),6 Mieczy,Six of Swords,"Zmiana pracy na lepszą. Relokacja.","Ucieczka od problemów. Zmiana firmy, problemy te same.","Płynność finansowa. Wychodzimy na prostą.","Bagaż długów, który ciągnie się za firmą.","Onboarding nowego pracownika. Pomocna dłoń.","Trudne pożegnania. Zespół się rozpada."
Miecze (Powietrze),7 Mieczy,Seven of Swords,"Strategia i spryt. Znajdziemy obejście systemu.","Oszustwo. Kradzież własności intelektualnej.","Optymalizacja podatkowa (na granicy prawa).","Defraudacja. Ktoś wynosi papier do ksero do domu.","Kombinator w zespole. Robi swoje na boku.","Wykrycie kreta. Ktoś wynosi dane do konkurencji."
Miecze (Powietrze),8 Mieczy,Eight of Swords,"Paraliż analityczny. Czujesz, że nie masz wyjścia.","Oświecenie. Znajdujesz rozwiązanie problemu.","Ograniczenia budżetowe. Ręce związane.","Uwolnienie się od złego kredytu.","Poczucie bycia ofiarą systemu. 'Nic nie mogę zrobić'.","Przełamanie barier. Zespół rusza z miejsca."
Miecze (Powietrze),9 Mieczy,Nine of Swords,"Nieprzespane noce przed deadline'm. Stres.","Koniec zmartwień. Problem rozwiązany.","Lęk o przyszłość finansową firmy.","Długi rosną w wyobraźni bardziej niż w realu.","Zmartwienia o zespół. Czy dowieziemy?","Pomoc z zewnątrz. Konsultant ratuje sytuację."
Miecze (Powietrze),10 Mieczy,Ten of Swords,"Koniec. Projekt ubity. Gorzej już nie będzie.","Powstanie z popiołów. Nowy start po katastrofie.","Bankructwo całkowite. Komornik.","Wyjście z długów. Najgorsze za nami.","Zdrada. Ktoś wbił nóż w plecy całemu zespołowi.","Koniec toksycznej relacji z szefem."
Miecze (Powietrze),Paź Mieczy,Page of Swords,"Research. Zbieranie danych. Ciekawski analityk.","Plotkarz. Roznosi niesprawdzone info.","Małe inwestycje w informację.","Szpiegostwo przemysłowe. Wyciek danych.","Bystry junior, który zadaje za dużo pytań.","Złośliwy kolega. Trolluje na Slacku."
Miecze (Powietrze),Rycerz Mieczy,Knight of Swords,"Agresywna ekspansja. Szybkie decyzje.","Chaos. Działanie bez planu. 'Róbmy cokolwiek'.","Inwestycje wysokiego ryzyka.","Utrata płynności przez głupie decyzje.","Ambitny lider, idzie jak burza.","Agresor. Krzyczy na spotkaniach."
Miecze (Powietrze),Królowa Mieczy,Queen of Swords,"Profesjonalizm. Chłodna analiza faktów.","Cynizm. Zgorzkniała księgowa, która nienawidzi ludzi.","Przejrzyste finanse. Wszystko w Excelu.","Bezduszne cięcie kosztów.","Kompetentna szefowa. Dystans, ale sprawiedliwość.","Okrucieństwo. Zwalnianie ludzi mailem."
Miecze (Powietrze),Król Mieczy,King of Swords,"Strateg. Wielki umysł, twarde zasady.","Manipulator. Wykorzystuje prawo przeciwko tobie.","Władza nad budżetem. Żelazna dyscyplina.","Nadużycia finansowe w majestacie prawa.","Autorytet intelektualny. Ekspert.","Bezwzględny szef. Traktuje ludzi jak cyfry."
Monety (Ziemia),As Monet,Ace of Pentacles,"Nowy klient! Duża kasa na horyzoncie.","Stracona szansa biznesowa. Oferta przepadła.","Premia startowa. Budżet na rozruch.","Chciwość. Skąpienie na narzędzia pracy.","Solidne podstawy zespołu. Zatrudnienie na UoP.","Materializm. Pracują tylko dla kasy."
Monety (Ziemia),2 Monet,Two of Pentacles,"Elastyczność. Żonglujemy zadaniami i budżetem.","Chaos organizacyjny. Za dużo srok za ogon.","Płynność finansowa zachowana dzięki gimnastyce.","Długi pętlą się. Kredyt spłacamy kredytem.","Współpraca z freelancerami.","Brak stabilności w zespole. Ciągła rotacja."
Monety (Ziemia),3 Monet,Three of Pentacles,"Mistrzostwo. Zespół ekspertów dowozi jakość.","Fuszerka. Byle jak, byle szybciej.","Dobra zapłata za dobrą robotę.","Niedocenienie fachowców. Płacenie 'grosze'.","Idealna współpraca. Każdy wie, co ma robić.","Brak kompetencji. Amatorzy biorą się za projekt."
Monety (Ziemia),4 Monet,Four of Pentacles,"Stabilizacja. Trzymamy się planu i budżetu.","Stagnacja. Boimy się wydać złotówkę na rozwój.","Oszczędności 'poduszkowe'. Mamy zapas.","Skąpstwo. Oszczędzanie na kawie i papierze.","Lojalny pracownik (bo boi się zmiany).","Zaborczość. 'To mój projekt, nie dotykaj'."
Monety (Ziemia),5 Monet,Five of Pentacles,"Kryzys. Cięcia budżetowe, brak zasobów.","Pomoc nadeszła. Wychodzimy z dołka.","Bieda. Działamy na sprzęcie sprzed dekady.","Odzyskanie płynności. Kredyt przyznany.","Izolacja. Zespół czuje się porzucony przez górę.","Wsparcie w trudnych chwilach. Solidarność."
Monety (Ziemia),6 Monet,Six of Pentacles,"Hojność szefa. Premie, szkolenia, nowy sprzęt.","Wykorzystywanie. 'Dam ci podwyżkę jak zrobisz...'","Dofinansowanie, inwestor zewnętrzny.","Złe długi. Pożyczasz i nie oddają.","Mentoring. Dzielenie się wiedzą.","Nierówne traktowanie. Jedni dostają wszystko, inni nic."
Monety (Ziemia),7 Monet,Seven of Pentacles,"Cierpliwość. Inwestycja długoterminowa.","Zniecierpliwienie. 'Gdzie są wyniki?!'.","Zwrot z inwestycji (ROI) przyjdzie później.","Nierentowna inwestycja. Czekamy na cud.","Rozwój pracowników. Szkolenia trwają.","Lenistwo. 'Czy się stoi czy się leży...'."
Monety (Ziemia),8 Monet,Eight of Pentacles,"Ciężka praca. Dopieszczanie szczegółów. Jakość.","Perfekcjonizm, który blokuje wdrożenie.","Godziwa zapłata za nadgodziny (rzadkość).","Wyysk. Praca za dwoje za jedną pensję.","Specjalista w swoim fachu. Rzemieślnik kodu.","Brak ambicji. Robienie minimum."
Monety (Ziemia),9 Monet,Nine of Pentacles,"Niezależność. Sukces finansowy i wolność.","Złota klatka. Masz kasę, ale nie masz życia.","Duże zyski, premie, dywidendy.","Zależność finansowa od jednego klienta.","Samodzielne stanowisko. Ekspert freelancer.","Samotność na szczycie. Nikt cię nie lubi."
Monety (Ziemia),10 Monet,Ten of Pentacles,"Korporacja. Stabilność, emerytura, benefity.","Upadek giganta. Problemy w centrali.","Bogactwo firmy. Długoterminowe kontrakty.","Spory o podział zysków lub udziałów.","Tradycja firmowa. 'Rodzinna atmosfera' (naprawdę).","Skostniała struktura. Brak miejsca na innowacje."
Monety (Ziemia),Paź Monet,Page of Pentacles,"Nauka nowych skilli. Certyfikacja.","Lenistwo. Brak chęci do nauki.","Stypendium, mała dotacja na start.","Marnowanie zasobów na głupoty.","Solidny junior. Powoli, ale do przodu.","Osoba nieogarnięta. Traci dokumenty."
Monety (Ziemia),Rycerz Monet,Knight of Pentacles,"Rutyna. Dzień po dniu, cegła po cegle. Solidność.","Nuda. Stagnacja. Nic się nie dzieje.","Regularne wpływy. Płynność zachowana.","Zastój w interesach. Rynek stanął.","Pracowity, ale mało kreatywny pracownik.","Uparty wół roboczy. Nie zmieni zdania."
Monety (Ziemia),Królowa Monet,Queen of Pentacles,"Praktyczne podejście. Zarządzanie zasobami.","Zaniedbanie biura. Brudno i zimno.","Dbałość o finanse. Oszczędność, ale z głową.","Materialistka. Liczy się tylko kasa.","Dobra organizatorka. 'Matka zespołu'.","Chciwa szefowa. Wszystko dla niej."
Monety (Ziemia),Król Monet,King of Pentacles,"Magnat biznesu. Bezpieczeństwo i stabilizacja.","Skorumpowany szef. Przekręty na boku.","Majątek firmy. Nieruchomości, aktywa.","Chciwość bez granic. Wyzysk pracowników.","Szef, który daje poczucie bezpieczeństwa.","Szef, który myśli tylko o swoim bonusie."
